step,opinion_state,control_input,attacker_input
89,[ 0.23150974 -0.10760241  0.32597882  0.33073255],[0.39432303 0.05845947 0.16727733 0.76815014],[0.21752814 0.72330461 0.55276062 0.21675796]
90,[0.73206796 0.42046096 0.71501507 0.61880868],[0.52934528 0.28675183 0.68041203 0.5296926 ],[0.75096749 0.67839532 0.59865507 0.65575716]
91,[0.84286564 0.00826405 0.431178   0.01143143],[0.7181166  0.63142381 0.3641742  0.37867983],[0.8858496  0.70409046 0.61249984 0.0832022 ]
92,[0.63239638 0.03243068 0.71804084 0.41191986],[0.37946146 0.13239622 0.83216898 0.4769951 ],[0.67621032 0.63161865 0.41876827 0.47264683]
93,[0.22721512 0.48157649 0.87325252 0.17934853],[0.59193583 0.85200544 0.95870229 0.20811557],[0.15837491 0.75643053 0.63693533 0.35957833]
94,[0.57855018 0.34939239 0.41586335 0.33319945],[0.62407135 0.61554837 0.80226551 0.0712358 ],[0.54430564 0.69677449 0.02689255 0.66692237]
95,[0.12857337 0.57280655 0.18615983 0.12365655],[0.65595005 0.70445427 0.28274486 0.30625385],[0.00192081 0.93538024 0.18113662 0.1928915 ]
96,[0.8579786  0.08606887 0.39388874 0.12652342],[0.35743144 0.22411697 0.36402111 0.21684485],[0.94145134 0.37524212 0.48019236 0.165289  ]
97,[ 0.88554861  0.19883314  0.10363749 -0.03990153],[0.87934288 0.10173425 0.04274978 0.01525344],[0.82163563 0.95634611 0.20298773 0.12763682]
98,[0.65309519 0.14208236 0.6372899  0.35438183],[0.26788105 0.02967114 0.6709721  0.2239987 ],[0.72723142 0.80063099 0.48426561 0.52354412]
99,[0.78087729 0.12015188 0.35255321 0.31294124],[0.65507231 0.22404265 0.56649875 0.6715879 ],[0.79721917 0.87351019 0.12959006 0.25663421]
